,1. Tur Katılım,2. Tur Katılım,Katılım Farkı,1. Tur Toplam Seçmen,2. Tur Toplam Seçmen ,Toplam Seçmen Farkı,1. Tur Erdoğan Oy Sayısı,2. Tur Erdoğan Oy Sayısı,Erdoğan Oy Artışı,1. Tur Kılıçdaroğlu Oy Sayısı,2. Tur Kılıçdaroğlu Oy Sayısı,Kılıçdaroğlu Oy Artışı,İkinci Turda Erdoğan-Kılıçdaroğlu Farkı
Yalıhüyük,"86,41","82,84","-3,57",1508,1509,1,972,950,-22,223,261,38,689
Hamur,"71,43","63,00","-8,43",9344,9363,19,2484,2456,-28,3817,3331,-486,-875
Armutlu,"87,29","83,19","-4,10",8740,8746,6,4306,4276,-30,2741,2891,150,1385
Tuşba,"77,57","71,85","-5,72",97279,96215,-1064,27453,27407,-46,44187,40507,-3680,-13100
Sur,"80,98","74,66","-6,32",59860,59927,67,13660,13607,-53,32549,30127,-2422,-16520
Edirne,"89,87","86,98","-2,89",138831,138398,-433,36151,36075,-76,80605,83273,2668,-47198
Dicle,"75,44","66,41","-9,03",23603,23644,41,5481,5403,-78,10917,9747,-1170,-4344
İpekyolu,"82,92","77,48","-5,44",229342,229590,248,67493,67369,-124,113307,107413,-5894,-40044
Erciş,"73,96","65,25","-8,71",104103,104178,75,31401,31225,-176,41144,35518,-5626,-4293
Bağlar,"81,16","75,08","-6,08",254385,254658,273,45462,45240,-222,151933,142588,-9345,-97348
Kayapınar,"84,35","79,63","-4,72",273047,270888,-2159,53799,53518,-281,166969,158251,-8718,-104733
Ağrı,"77,01","70,33","-6,68",90894,90971,77,29568,29163,-405,36367,33626,-2741,-4463
Karaköprü,"87,87","83,79","-4,08",166341,165493,-848,85862,85231,-631,53319,51688,-1631,33543
Muş,"80,24","74,36","-5,88",120904,121004,100,47561,46903,-658,43246,40505,-2741,6398
Siverek,"76,77","70,03","-6,74",153380,152908,-472,57480,56739,-741,54734,48903,-5831,7836
Konak,"87,39","84,28","-3,11",266435,266599,164,64550,63747,-803,156440,159105,2665,-95358
Eyyübiye,"79,72","75,61","-4,11",203950,204216,266,122283,121274,-1009,34275,31598,-2677,89676
Esenyurt,"88,71","85,05","-3,66",643366,643878,512,250842,249409,-1433,286507,293289,6782,-43880
Haliliye,"84,53","80,17","-4,36",227406,227659,253,129297,127589,-1708,55343,52951,-2392,74638
Batman,"85,50","80,67","-4,83",306087,305363,-724,69773,68021,-1752,173444,179209,5765,-111188
